CATEGORIE;SOUS-CATEGORIE;SOUS-CATEGORIE 2;ARTICLE;DESIGNATION;HAUTEUR;LARGEUR;PRIX_UNITAIRE_HT;DEVIS;FOURNISSEUR;CHANTIER;FICHE_TECHNIQUE;FICHIER_PDF
Menuiserie interieurs;PORTES PLEINES / STANDARD;Porte Ame Pleine;4075675;PORTE AME PLEINE - cadre bois exotique 4 ples INOX de 130 - 2 faces placage OBERFLEX PRESTIGE FRENE;2140;930;769.47;D202017;Dispano;ECOLE DE THAL MARMOUTIER;Fiches_techniques\Portes et chassis\FT bloc-porte pleine.pdf;Devis_fournisseur\Dispano\M3248000133334.PDF
Menuiserie interieurs;PORTES PLEINES / STANDARD;Porte Retaillable;6301641;Porte ame pleine prepeinteinte retaillable 221x83x40mm - Blanc;2210;830;144.95;D202520;Dispano;PORTE RETAILLABLE CHAUVAT;Fiches_techniques\Portes et chassis\FT RECOUPABLE.pdf;Devis_fournisseur\Dispano\M3248000134719.PDF
Menuiserie interieurs;PORTES PLEINES / STANDARD;Porte Retaillable;6301642;Porte plane ame pleine rives droites prepeinte retaillable 221x103 ep. 40mm - Blanc;2210;1030;153.09;D202520;Dispano;PORTE RETAILLABLE CHAUVAT;Fiches_techniques\Portes et chassis\FT RECOUPABLE.pdf;Devis_fournisseur\Dispano\M3248000134719.PDF
Menuiserie interieurs;PORTES COULISSANTES;Porte Ame Pleine Coulissante;1701603;PORTE AME PLEINE COULISSANTE - cadre bois dur rainure basse - mortaise pour serrure a crochet - stratifie 2 faces;2100;930;199.11;D202017;Dispano;ECOLE DE THAL MARMOUTIER;Fiches_techniques\Portes et chassis\Coulissant\SAF 80\SAF-10-80_noticetech_w_01_fr.pdf;Devis_fournisseur\Dispano\M3248000133334.PDF
Menuiserie interieurs;PORTES MATERNELLE / CRECHE;Bloc Porte Maternelle EI30;3425089;BLOC PORTE MATERNELLE EI30 - Huisserie bois dur a peindre 68X58 - porte 2 FACES FIBRE PREPEINT - 4 ples de 130;2040;930;729.11;D201551;Dispano;CHENILLE ET PAPILLONS;Fiches_techniques\Portes et chassis\Porte maternelles\maternelle_31-m31s-t01_fpDeya EI30.pdf;
Menuiserie interieurs;PORTES MATERNELLE / CRECHE;Bloc Porte Maternelle EI30;3425089;BLOC PORTE MATERNELLE EI30 - Huisserie bois dur a peindre 68X58 - joint anti pince doigts - TROU de bequille a 1290mm;2040;830;648.11;D204221;Dispano;-;Fiches_techniques\Portes et chassis\Porte maternelles\maternelle_31-m31s-t01_fpDeya EI30.pdf;Devis_fournisseur\Dispano\M3248000136276.PDF
Menuiserie interieurs;PORTES MATERNELLE / CRECHE;Bloc Porte Maternelle EI30;3425089;BLOC PORTE MATERNELLE EI30 - Huisserie bois dur a peindre 68X58 - joint anti pince doigts - TROU de bequille a 1290mm;2040;930;648.11;D204221;Dispano;-;Fiches_techniques\Portes et chassis\Porte maternelles\maternelle_31-m31s-t01_fpDeya EI30.pdf;Devis_fournisseur\Dispano\M3248000136276.PDF
Menuiserie interieurs;PORTES MATERNELLE / CRECHE;Bloc Porte EI30;3425089;BLOC PORTE EI30 - Huisserie bois dur a peindre 68X58 - TROU de bequille a 1290mm;2040;830;339.91;D204221;Dispano;-;Fiches_techniques\Portes et chassis\EI30\blocofeu_f31s-t02_fp.pdf;Devis_fournisseur\Dispano\M3248000136276.PDF
Menuiserie interieurs;PORTES MATERNELLE / CRECHE;Porte Ecole Maternelle EI30;1701603;PORTE ECOLE MATERNELLE EI30 FERREE - cadre bois dur 4 ples de 130 - Stratifie blanc cumulus F2255 MAT - 1 oculus rond D.400mm;2165;930;832.12;D168008;Dispano;PAUL MEURICE;Fiches_techniques\Portes et chassis\Porte maternelles\maternelle_m01s-t02_fp Deya.pdf;Devis_fournisseur\Dispano\M5228000139625.PDF
Menuiserie interieurs;HUISSERIES;Huisserie Frene Massif;3433808;HUISSERIE FRENE MASSIF A VERNIR 100X58 avec joint isophnonique sans rainure a brique - ferrage universel 4 ples INOX;2140;930;397.46;D202017;Dispano;ECOLE DE THAL MARMOUTIER;Fiches_techniques\Portes et chassis\Chambranle et contrechambranle\G2.1_-_1.3_Optima_30.pdf;Devis_fournisseur\Dispano\M3248000133334.PDF
Menuiserie interieurs;HUISSERIES;Huisserie Frene Massif;3433808;HUISSERIE FRENE MASSIF A VERNIR 100X58 avec joint isophnonique sans rainure a brique - ferrage universel 4 ples INOX;2140;830;385.04;D202017;Dispano;ECOLE DE THAL MARMOUTIER;Fiches_techniques\Portes et chassis\Chambranle et contrechambranle\G2.1_-_1.3_Optima_30.pdf;Devis_fournisseur\Dispano\M3248000133334.PDF
Quincailleries;Menuiserie interieurs;Ferme-porte;1730592;Ferme-porte Groom GR400 Force 3 EN avec bras glissiere anti-vandalisme gris argent;;;60.43;D197902;Dispano;AUGUSTA PARIS;Fiches_techniques\Portes et chassis\Ferme porte\ferme-porte-ts-wood-1623_doc_technique.pdf.pdf;Devis_fournisseur\Dispano\M3248000120388.PDF
Menuiserie interieurs;PORTES PLEINES / STANDARD;Porte Ame Pleine;4075675;PORTE AME PLEINE - cadre bois exotique 4 ples INOX de 130 - 2 faces placage OBERFLEX T729;2140;930;902.59;D202017;Dispano;ECOLE DE THAL MARMOUTIER;Fiches_techniques\Portes et chassis\FT bloc-porte pleine.pdf;Devis_fournisseur\Dispano\M3248000135396.PDF
Menuiserie interieurs;PORTES ACOUSTIQUES;Porte Acoustique RA=40-44dB;4075675;PORTE ACOUSTIQUE RW=44DB EI30 RA=42dB - cadre bois exotique 4 ples INOX de 130 - 2 faces placage OBERFLEX T729 - joint balai;2140;930;1214.77;D202017;Dispano;ECOLE DE THAL MARMOUTIER;Fiches_techniques\Portes et chassis\Acoustique\phonibloc_40ba31s-t05_fp.pdf;Devis_fournisseur\Dispano\M3248000135396.PDF
Menuiserie interieurs;PORTES ACOUSTIQUES;Porte Acoustique RA=40-44dB;4075675;PORTE ACOUSTIQUE RW=44DB EI30 RA=42dB - cadre bois exotique 4 ples INOX de 130 - 2 faces placage OBERFLEX T729 - joint balai;2140;930;1214.77;D202017;Dispano;ECOLE DE THAL MARMOUTIER;Fiches_techniques\Portes et chassis\Acoustique\phonibloc_40ba31s-t05_fp.pdf;Devis_fournisseur\Dispano\M3248000135396.PDF
Menuiserie interieurs;PORTES ACOUSTIQUES;Porte Acoustique RA=40-44dB;4075675;PORTE ACOUSTIQUE RW=44DB EI30 RA=42dB - cadre bois exotique 4 ples INOX de 130 - 2 faces placage OBERFLEX T729 - joint balai;2140;830;1199.91;D202017;Dispano;ECOLE DE THAL MARMOUTIER;Fiches_techniques\Portes et chassis\Acoustique\phonibloc_40ba31s-t05_fp.pdf;Devis_fournisseur\Dispano\M3248000135396.PDF
Menuiserie interieurs;PORTES ACOUSTIQUES;Porte Acoustique RA=29-35dB;4075675;PORTE ACOUSTIQUE RA=35DB EI30 - cadre bois exotique 4 ples INOX de 130 - 2 faces placage OBERFLEX BRUT 8/10e;2140;930;751.17;D202017;Dispano;ECOLE DE THAL MARMOUTIER;Fiches_techniques\Portes et chassis\Acoustique\phonibloc_33-a32s-t01_fp.pdf;Devis_fournisseur\Dispano\M3248000134134.PDF
Menuiserie interieurs;PORTES PLEINES / STANDARD;Porte Ame Pleine;4075675;PORTE AME PLEINE - cadre bois exotique 4 ples INOX de 130 - 2 faces placage OBERFLEX BRUT 8/10e;2140;930;669.55;D202017;Dispano;ECOLE DE THAL MARMOUTIER;Fiches_techniques\Portes et chassis\FT bloc-porte pleine.pdf;Devis_fournisseur\Dispano\M3248000134134.PDF
Menuiserie interieurs;PORTES ACOUSTIQUES;Porte Acoustique RA=40-44dB;4075675;PORTE ACOUSTIQUE RW=44DB EI30 RA=42dB - cadre bois exotique 4 ples INOX de 130 - 2 faces placage OBERFLEX BRUT 8/10e - joint balai;2140;930;984.44;D202017;Dispano;ECOLE DE THAL MARMOUTIER;Fiches_techniques\Portes et chassis\Acoustique\phonibloc_40ba31s-t05_fp.pdf;Devis_fournisseur\Dispano\M3248000134134.PDF
Menuiserie interieurs;PORTES ACOUSTIQUES;Porte Acoustique RA=40-44dB;4075675;PORTE ACOUSTIQUE RW=44DB EI30 RA=42dB - cadre bois exotique 4 ples INOX de 130 - 2 faces placage OBERFLEX BRUT 8/10e - joint balai;2140;830;968.88;D202017;Dispano;ECOLE DE THAL MARMOUTIER;Fiches_techniques\Portes et chassis\Acoustique\phonibloc_40ba31s-t05_fp.pdf;Devis_fournisseur\Dispano\M3248000134134.PDF
Menuiserie interieurs;PORTES VITREES;Pupitre Bois Pour Vitrage;3170616;PUPITRE BOIS POUR VITRAGE - Huisserie HETRE LCA 118X58 avec rainure a brique 4 cotes;2300;;472.32;D203016;Dispano;CLOISON VITRE EI60;Fiches_techniques\Portes et chassis\EI60\blocofeu_f61w-t01_fp.pdf.pdf;Devis_fournisseur\Dispano\M3248000132339.PDF
