CATEGORIE;SOUS-CATEGORIE;SOUS-CATEGORIE 2;SOUS-CATEGORIE 3;DESIGNATION;DESCRIPTION;HAUTEUR;LARGEUR;PRIX_UNITAIRE_HT;ARTICLE;FOURNISSEUR;CHANTIER;FICHE_TECHNIQUE;FICHIER_PDF
Menuiserie interieurs;PORTES ACOUSTIQUES;Bloc Porte Maternelle Acoustique;;BLOC PORTE ACOUSTIQUE RA=40DB EI30 - Huisserie bois dur a peindre 68X58 - joint balai;avec joint iso. porte cadre bois dur 4 paumelles de 130. serrure de sûreté 1 point axe a 50. sans cylindre. 2 faces fibre prépeint. avec joint iso. porte cadre bois dur 4 paumelles de 130. serrure de sûreté 1 point axe a 50. sans cylindre. 2 faces fibre prépeint. 44-27] 44-271. K20.00%$ 62569.76 12513.95 TVA 12513.95 E. Toute commande implique de la p.;2240;930;344.27;1701603;Dispano;POLE SCOLAIRE BALDERSHEIM;Fiches_techniques\Portes et chassis\Acoustique\phonibloc_40ba31s-t05_fp.pdf;Devis_fournisseur\Dispano\M3248000129023.PDF
Menuiserie interieurs;PORTES VITREES;Bloc Porte Vitre EI30;;BLOC PORTE VITRE EI30 - Huisserie bois dur a peindre 80X58 - vitrage pyrobel 16 toute hauteur;RA=35dB. avec joint iso. porte cadre bois dur de 110mm. 2 faces fibre prépeint. percioses amaincies. les de 160. DI ECT. serrure de sûreté 1 point axe a 50. 2 VTX :feuillure de battement. verrous sur semi fixe. joint balai. avec joint iso. porte cadre bois dur de 110mm. 2 faces fibre prépeint. parcloses amaincies. 4.;2240;930;1415.61;1353425;Dispano;BALDERSHEIM BP VITRE;Fiches_techniques\Portes et chassis\EI30\Vitree-JW-donnees-techniques-Feu-EI30-Acoustique-35-dB-largement-vitre-2-vantaux_1.pdf;Devis_fournisseur\Dispano\M3248000129275.PDF
Menuiserie interieurs;PORTES VITREES;Bloc Porte Vitre EI30;;BLOC PORTE VITRE EI30 - Huisserie bois dur a peindre 80X58 - vitrage pyrobel 16 - 2 VTX feuillure battement;RA=35dB. avec joint iso. porte cadre bois dur de 110mm. 2 faces fibre prépeint. vitrage pyrobel 16 toute hauteur. percioses amaincies. les de 160. DI ECT. serrure de sûreté 1 point axe a 50. verrous sur semi fixe. joint balai. avec joint iso. porte cadre bois dur de 110mm. 2 faces fibre prépeint. vitrage pyrobel 16 toute hauteur. parcloses amaincies. 4.;2240;1860;2710.35;1353425;Dispano;BALDERSHEIM BP VITRE;Fiches_techniques\Portes et chassis\EI30\Vitree-JW-donnees-techniques-Feu-EI30-Acoustique-35-dB-largement-vitre-2-vantaux_1.pdf;Devis_fournisseur\Dispano\M3248000129275.PDF
Menuiserie interieurs;PORTES VITREES;Bloc Porte Vitre EI30;;BLOC PORTE VITRE EI30 - Huisserie bois dur a peindre 80X58 - vitrage pyrobel 16 - 2 VTX feuillure battement;RA=35dB. avec joint iso. porte cadre bois dur de 110mm. 2 faces fibre prépeint. vitrage pyrobel 16 toute hauteur. percioses amaincies. les de 160. DI ECT. serrure de sûreté 1 point axe a 50. verrous sur semi fixe. joint balai. avec joint iso. porte cadre bois dur de 110mm. 2 faces fibre prépeint. vitrage pyrobel 16 toute hauteur. parcloses amaincies. 4.;2240;1460;2341.73;1353425;Dispano;BALDERSHEIM BP VITRE;Fiches_techniques\Portes et chassis\EI30\Vitree-JW-donnees-techniques-Feu-EI30-Acoustique-35-dB-largement-vitre-2-vantaux_1.pdf;Devis_fournisseur\Dispano\M3248000129275.PDF
Menuiserie interieurs;PORTES VITREES;Bloc Porte Vitre EI30 Acoustique;;BLOC PORTE VITRE EI30 ACOUSTIQUE RA=35dB - Huisserie bois dur a peindre 80X58 - vitrage pyrobel 16;avec joint iso. porte cadre bois dur de 110mm. 2 faces fibre prépeint. vitrage pyrobel 16 toute hauteur. percioses amaincies. les de 160. DI ECT. serrure de sûreté 1 point axe a 50. 2 VTX :feuillure de battement. verrous sur semi fixe. joint balai. avec joint iso. porte cadre bois dur de 110mm. 2 faces fibre prépeint. vitrage pyrobel 16 toute hauteur. parcloses amaincies. 4.;2240;1460;2444.22;1353425;Dispano;BALDERSHEIM BP VITRE;Fiches_techniques\Portes et chassis\EI30\Vitree-JW-donnees-techniques-Feu-EI30-Acoustique-35-dB-largement-vitre-2-vantaux_1.pdf;Devis_fournisseur\Dispano\M3248000129275.PDF
Menuiserie interieurs;PORTES VITREES;Bloc Porte Vitre DAS EI30;;BLOC PORTE VITRE DAS SIMPLE ACTION EI30 - Huisserie bois dur a peindre 80X58 - Asservissement GEZE TS WOODF3;RA=35dB. avec joint iso. porte cadre bois dur de 110mm. 2 faces fibre prépeint. vitrage pyrobel 16 toute hauteur. percioses amaincies. les de 160. DI ECT. serrure de sûreté 1 point axe a 50. 2 VTX :feuillure de battement. verrous sur semi fixe. joint balai. avec joint iso. porte cadre bois dur de 110mm. 2 faces fibre prépeint. vitrage pyrobel 16 toute hauteur. parcloses amaincies. 4.;2240;1460;2467.33;1353425;Dispano;BALDERSHEIM BP VITRE;Fiches_techniques\Portes et chassis\DAS\blocdas_d32wpt01_fp.pdf;Devis_fournisseur\Dispano\M3248000129275.PDF
Menuiserie interieurs;PORTES VITREES;Chassis Fixe Vitre;;CHASSIS FIXE VITRE - Huisserie FRENE MASSIF A VERNIR sans rainure a brique 100X58 - Vitrage STADIP 44.2;H:1750mm. L:900mm. K20.00%$ 19495.18 3899.04 TVA 3899.04 E.;1750;900;463.66;3433808;Dispano;ECOLE DE THAL MARMOUTIER;Fiches_techniques\Portes et chassis\Châssis\cloisoglass_38-v30f-t01_fp.pdf;Devis_fournisseur\Dispano\M3248000133334.PDF
Menuiserie interieurs;PORTES PLEINES / STANDARD;Bloc Porte Ame Pleine;;BLOC PORTE AME PLEINE - Huisserie resineux massif 68x58 avec joint iso - porte cadre resineux 3 ples de 130;2 faces fibre prépeint. serrure de sûreté 1 point axe a 50. sans cylindre. 2 faces fibre prépeint.;2040;630;137.36;1701603;Dispano;AUGUSTA PARIS;Fiches_techniques\Portes et chassis\FT bloc-porte pleine.pdf;Devis_fournisseur\Dispano\M3248000120388.PDF
Menuiserie interieurs;PORTES PLEINES / STANDARD;Bloc Porte Ame Pleine;;BLOC PORTE AME PLEINE - Huisserie resineux massif 68x58 avec joint iso - porte cadre resineux 3 ples de 130;2 faces fibre prépeint. serrure de sûreté 1 point axe a 50. sans cylindre. 2 faces fibre prépeint.;2040;830;140.50;1701603;Dispano;AUGUSTA PARIS;Fiches_techniques\Portes et chassis\FT bloc-porte pleine.pdf;Devis_fournisseur\Dispano\M3248000120388.PDF
Menuiserie interieurs;PORTES PLEINES / STANDARD;Bloc Porte Ame Pleine;;BLOC PORTE AME PLEINE - Huisserie bois dur a peindre 118X54 - porte cadre resineux 3 ples de 130;avec joint d'étanchéité 3 côtés. serrure de sûreté 1 point axe a 50. sans cylindre. 2 faces fibre prépeint.;2040;830;210.78;3170616;Dispano;CRECHE DE BEAUNE;Fiches_techniques\Portes et chassis\FT bloc-porte pleine.pdf;Devis_fournisseur\Dispano\M3248000121691.PDF
Menuiserie interieurs;PORTES PLEINES / STANDARD;Bloc Porte Ame Pleine;;BLOC PORTE AME PLEINE - Huisserie bois dur a peindre 88X54 - porte cadre resineux 3 ples de 130;avec joint d'étanchéité 3 côtés. serrure de sûreté 1 point axe a 50. sans cylindre. 2 faces fibre prépeint.;2040;830;168.71;3170616;Dispano;CRECHE DE BEAUNE;Fiches_techniques\Portes et chassis\FT bloc-porte pleine.pdf;Devis_fournisseur\Dispano\M3248000121691.PDF
Menuiserie interieurs;PORTES PLEINES / STANDARD;Bloc Porte Ame Pleine Non Feu;;BLOC PORTE AME PLEINE NON FEU - Huisserie bois dur a peindre 66X54 - placage 2 faces CHENE A VERNIR;avec joint d'étanchéité 3 côtés. porte cadre bois dur 4 paumelles de 130. serrure de sûreté 1 point axe a 50. sans cylindre.;2040;930;304.36;3170616;Dispano;CABINET D'AVOCAT PARIS;Fiches_techniques\Portes et chassis\Bloc porte plane prépein.pdf;Devis_fournisseur\Dispano\M3248000121110.PDF
